Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2023,Vermont,Rybelsus,Semaglutide,304,2350,3913.5,3800865.31,607,,1801,3062.5,2958098.28,,478,6019.35,207676.5,N,N,N,N
2023,Vermont,Rytary,Carbidopa/Levodopa,30,342,629.9,465308.74,62,,285,496.6,349185.64,,50,108.38,58697.74,N,N,N,N
2023,Vermont,Safetyglide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",3,18,20.3,1005.71,,,18,20.3,1005.71,*,,1.45,0,N,N,N,N
2023,Vermont,Salsalate,Salsalate,7,28,64,5417.97,,#,,,,*,,4.15,1650.3,N,N,N,N
2023,Vermont,Sandostatin Lar Depot,"Octreotide Acetate,mi-Spheres",6,32,50.7,250904.76,,#,,,,*,,25,9907.46,N,N,N,N
2023,Vermont,Santyl,Collagenase Clostridium Hist.,55,122,133.7,49651.13,91,,97,104.7,40074.91,,77,460.53,5020.4,N,N,N,N
2023,Vermont,Saphris,Asenapine Maleate,1,12,12,7712.76,,,0,0,0,#,,113.85,0,N,N,N,N
2023,Vermont,Savaysa,Edoxaban Tosylate,5,16,32,13872.52,,,16,32,13872.52,*,,16.9,2053.59,N,N,N,N
2023,Vermont,Savella,Milnacipran Hcl,37,201,329.4,145998.45,36,,103,181,90099.5,,20,328.54,9168.92,N,N,N,N
2023,Vermont,Saxagliptin Hcl,Saxagliptin Hcl,4,13,19,7296.93,,,13,19,7296.93,*,,7.25,30,N,N,N,N
2023,Vermont,Scemblix,Asciminib Hydrochloride,1,13,13,319318.82,,,0,0,0,#,,10.35,0,N,N,N,N
2023,Vermont,Scopolamine,Scopolamine,247,717,736.2,60482.13,378,,473,487.6,36582.44,,320,184.2,9575.49,N,N,N,N
2023,Vermont,Selegiline Hcl,Selegiline Hcl,21,189,369.9,25280.02,52,#,,,,#,,20.87,9577.8,N,N,N,N
2023,Vermont,Selenium Sulfide,Selenium Sulfide,29,83,94,1319.13,43,,44,52,716.79,,30,64.4,234.15,N,N,N,N
2023,Vermont,Semglee (Yfgn) Pen,Insulin Glargine-Yfgn,22,37,69.9,22806.27,23,,26,58.4,18361.98,#,,112.05,1706.14,N,N,N,N
2023,Vermont,Serevent Diskus,Salmeterol Xinafoate,92,399,645.5,281777.81,102,,342,570.5,247660.37,,88,509.9,27768.51,N,N,N,N
2023,Vermont,Seroquel,Quetiapine Fumarate,13,83,111,62687.69,,,34,54,17062.46,*,,105.83,2142.01,N,N,N,Y
2023,Vermont,Seroquel Xr,Quetiapine Fumarate,5,14,34,36047.62,,*,,,,*,,34.4,1726.96,N,N,N,Y
2023,Vermont,Sertraline Hcl,Sertraline Hcl,1062,39664,76362.3,539516.11,8099,,31372,62590.6,407369.91,,6601,13533.11,104924.98,N,N,N,N
2023,Vermont,Setlakin,Levonorgestrel/Ethin.Estradiol,9,38,115.1,2239.75,12,,0,0,0,,0,11.6,0,N,N,N,N
2023,Vermont,Sevelamer Carbonate,Sevelamer Carbonate,67,404,592.4,85275.6,122,,288,431.9,56858.12,,89,1236.63,10341.22,N,N,N,N
2023,Vermont,Sevelamer Hcl,Sevelamer Hcl,8,34,36,28730.89,,,11,13,9084,*,,2.85,287.4,N,N,N,N
2023,Vermont,Sf 5000 Plus,Fluoride (Sodium),108,572,769.8,4595.83,266,,485,658.8,3811.85,,221,162.12,1721.51,N,N,N,N
2023,Vermont,Shingrix,Varicella-Zoster Ge/As01b/Pf,308,8016,8025.9,1705709.69,5622,,7790,7799.9,1658620.2,,5443,0,0,N,N,N,N
2023,Vermont,Sildenafil Citrate,Sildenafil Citrate,244,1132,1806.2,72533.88,373,,1012,1609.8,50135.14,,335,452.25,9807.32,N,N,N,N
2023,Vermont,Silodosin,Silodosin,41,285,540,42163.73,83,,268,517,39785.87,#,,105.24,6094.94,N,N,N,N
2023,Vermont,Silver Sulfadiazine,Silver Sulfadiazine,119,267,282.3,3514.76,197,,191,204.3,2236.67,,152,114.12,846.77,N,N,N,N
2023,Vermont,Simbrinza,Brinzolamide/Brimonidine Tart,44,415,608.2,114665.66,94,,391,563.3,105881.1,#,,391.35,19438.25,N,N,N,N
2023,Vermont,Simpesse,L-Norgest/E.Estradiol-E.Estrad,8,12,36.3,768.02,,,0,0,0,#,,9.95,0,N,N,N,N
2023,Vermont,Simponi,Golimumab,11,175,206.8,1298933.84,27,,92,107.6,663336.04,,14,90.7,36872.17,N,N,N,N
2023,Vermont,Simvastatin,Simvastatin,846,40312,103206,527160.99,10131,,37015,96427.4,478987.57,,9463,10656.82,121468.5,N,N,N,N
2023,Vermont,Single Use Swab,Alcohol Antiseptic Pads,117,448,762.7,1844.76,167,,323,548.8,1364.88,,116,205.97,104.09,N,N,N,N
2023,Vermont,Singulair,Montelukast Sodium,7,35,77,20748.39,,#,,,,*,,234.05,2981.42,N,N,N,N
2023,Vermont,Sirolimus,Sirolimus,6,34,56,24606.97,,,11,23,6312.62,*,,2.7,1357.43,N,N,N,N
2023,Vermont,Sirturo,Bedaquiline Fumarate,3,21,21,84049.62,,#,,,,*,,0,0,N,N,N,N
2023,Vermont,Skyrizi,Risankizumab-Rzaa,12,40,99.4,792845.77,13,#,,,,*,,6459.58,17638.28,N,N,N,N
2023,Vermont,Skyrizi Pen,Risankizumab-Rzaa,21,150,373,3057104.64,42,,90,226.8,1805621.07,,27,1673.52,65594.31,N,N,N,N
2023,Vermont,Slynd,Drospirenone,3,11,26.8,6544,,,0,0,0,#,,31.85,0,N,N,N,N
2023,Vermont,Soaanz,Torsemide,25,67,81,18927.1,25,#,,,,#,,31.96,1873.81,N,N,N,N
2023,Vermont,Sod Sulf-Potass Sulf-Mag Sulf,"Sodium, Potassium,mag Sulfates",28,546,546,40551.09,535,,495,495,36660.94,,485,328.51,18481.8,N,N,N,N
2023,Vermont,Sodium Chloride,0.9 % Sodium Chloride,32,162,162.9,4349.7,58,,85,85.9,982.98,,47,36.7,332.73,N,N,N,N
2023,Vermont,Sodium Chloride,Sodium Chloride Irrig Solution,19,74,78.4,1215.79,25,,36,37.8,519.61,#,,46.45,170.98,N,N,N,N
2023,Vermont,Sodium Fluoride,Fluoride (Sodium),124,579,855.7,7227.38,336,,535,797.4,6656.42,,309,107.91,2823.6,N,N,N,N
2023,Vermont,Sodium Fluoride 5000 Dry Mouth,Fluoride (Sodium),27,71,87.5,910.51,39,,58,73.1,750.73,#,,15.35,342.21,N,N,N,N
2023,Vermont,Sodium Fluoride 5000 Plus,Fluoride (Sodium),101,337,398.1,3010.89,196,,273,330.1,2437.06,,156,159.65,1370.09,N,N,N,N
